Plausibility,sentence_pair,Sentence,lure_or_control_word,Lure_or_Control_SUBTLWF,Lure_or_Control_LgSUBTLWF,lure_or_control,Lure_and_control_attn,baseline_attn,Baseline attn: attn from the attn directing word 'enjoyed' to the baseline word 'about' ,,,
Plausible,1,The book about the food was enjoyed by the audience.,enjoyed,18.16,2.967,lure,0.0524,0.0757,,,,
Plausible,2,The cake by the flour was enjoyed by the guests.,enjoyed,18.16,2.967,lure,0.1167,0.1453,,,,
Plausible,3,The songs about the flowers were performed by the band.,performed,7.31,2.573,lure,0.0356,0.0666,,,,
Plausible,4,The painting inspired by music was exhibited by the museum.,exhibited,0.82,1.633,lure,0.0703,0.0867,,,,
Plausible,5,The report about the art was reviewed by the committee.,reviewed,2.61,2.127,lure,0.0478,0.0807,,,,
Plausible,6,The app for the recipe was funded by the investors.,funded,0.803921569,1.62324929,lure,0.0394,0.0939,,,,
Plausible,7,The speech about the mountain was praised by the audience.,praised,1.71,1.944,lure,0.0323,0.11,,,,
Plausible,8,The car in the musical was driven by the owner.,driven,10.27,2.72,lure,0.0646,0.122,,,,
Plausible,9,The meal in the picture was created by the chef.,created,23.43,3.078,lure,0.1216,0.0741,,,,
Plausible,10,The movie about the garden was criticized by the reviewers.,criticized,0.65,1.532,lure,0.0243,0.1398,,,,
Plausible,11,The tank with the oxygen was grabbed by the diver.,grabbed,13.33,2.833,lure,0.3007,0.0946,,,,
Plausible,12,The interview for the career was completed by the student.,completed,7.67,2.593,lure,0.077,0.0485,,,,
Plausible,13,The house in the novel was sold by the agent.,sold,52.06,3.424,lure,0.0973,0.0905,,,,
Plausible,14,The shirt by the kite was worn by the model.,worn,10.08,2.712,lure,0.0686,0.1285,,,,
Plausible,15,The photograph near the cocktail was displayed by the gallery.,displayed,1.47,1.881,lure,0.1019,0.1695,,,,
Plausible,16,The lesson about the plane was appreciated by the students.,appreciated,5.73,2.467,lure,0.0535,0.0633,,,,
Plausible,17,The gift by the boat was opened by the boy.,opened,33.84,3.237,lure,0.0732,0.0957,,,,
Plausible,18,The joke about the pie was enjoyed by the audience.,enjoyed,18.16,2.967,lure,0.0543,0.0612,,,,
Plausible,19,The advice about the computer was followed by the friend.,followed,34.1,3.24,lure,0.0262,0.0426,,,,
Plausible,20,The garden by the jacket was watered by the farmer.,watered,0.96,1.699,lure,0.1699,0.1251,,,,
Plausible,21,The poem about the feast was read by the poet.,read,241.22,4.09,lure,0.0672,0.0975,,,,
Plausible,22,The chairs by the snacks were bought by the customers.,bought,85.53,3.64,lure,0.1795,0.0867,,,,
Plausible,23,The decision about the artwork was supported by the group.,supported,3.65,2.272,lure,0.0373,0.0586,,,,
Plausible,24,The email about the basket was read by the manager.,read,241.22,4.09,lure,0.0672,0.1282,,,,
Plausible,25,The plan for the beverage was devised by the leaders.,devised,1.47,1.881,lure,0.0768,0.0252,,,,
Plausible,26,The dinner on the plane was attended by the guests.,attended,3.88,2.299,lure,0.0257,0.084,,,,
Plausible,27,The story about the candy was remembered by the children.,remembered,22.47,3.06,lure,0.0602,0.0681,,,,
Plausible,28,The puzzle on the necklace was solved by the inventor.,solved,9.92,2.705,lure,0.0326,0.1197,,,,
Plausible,29,The contract for the menu was drafted by the CEO.,drafted,2.33,2.079,lure,0.0479,0.0629,,,,
Plausible,30,The schedule on the calendar was followed by the employees.,followed,34.1,3.24,lure,0.1038,0.097,,,,
Plausible,31,The training for the cuisine was completed by the contestant.,completed,7.67,2.593,lure,0.0781,0.0413,,,,
Plausible,32,The experiment on the glacier was conducted by the scientists.,conducted,3.2,2.215,lure,0.0322,0.0641,,,,
Plausible,33,The song about the art was recorded by the artist. ,recorded,8.41,2.634,lure,0.0597,0.1638,,,,
Plausible,34,The application for the song was approved by the producer.,approved,6.49,2.521,lure,0.0706,0.062,,,,
Plausible,35,The issue with the floor was addressed by the management.,addressed,3.8,2.29,lure,0.1701,0.0439,,,,
Plausible,36,The challenge with the bread was overcome by the team.,overcome,6.2,2.501,lure,0.1269,0.0477,,,,
Plausible,37,The meeting about the art was held by the board.,held,42.45,3.336,lure,0.0523,0.062,,,,
Plausible,38,The film about the tree was released by the studio.,released,17.29,2.946,lure,0.0721,0.0619,,,,
