dependency,head_number,Plausibility,sentence_pair,Sentence,Word,SUBTLWF,LgSUBTLWF,PMI_crit,Cosine_crit,Attention_Strength,Lure_word,Lure_SUBTLWF,Lure_LgSUBTLWF,PMI_lure,Cosine_lure,Lure_attention_strength,baseline_attn,Baseline attn: from the attn directing lure ('girl') to the baseline word 'the',,,,,Head 6-9,Head 3-11,Head 6-10,H 4-6,H8-11,H5-3,H7-3,,H4-5,H7-10,H3-10,H3-9,H5-7,,,Lure 6-9,L3-11,L6-10,L4-6,L8-11,L5-3,L7-3,,L4-5,L7-10,L3-10,L3-9,L5-7
dobj,7_9,Plausible,item1,The teacher gave the girl a toy.,toy,16.84,2.934,-1.547005624,0.17559512,0.078,girl,557.12,4.454,-2.528136611,0.176041,0.0957,0.0173,,,,,,0.029,0.1237,0.225,0.1088,0.2309,0.0856,0.0124,,0.0955,0.1584,0.59,0.0055,0.0275,,,0.2686,0.2417,0.0037,0.0225,0.0487,0.1596,0.0118,,0.0076,0.1184,0.0249,0.8724,0.0071
dobj,7_9,Plausible,item2,The grandmother gifted the boy a bicycle.,bicycle,6.61,2.529,-5.556447029,0.09359523,0.0656,boy,529.82,4.432,-0.492547002,0.23425655,0.1252,0.0156,,,,,,0.0337,0.1921,0.056,0.5794,0.1855,0.1399,0.03,,0.0605,0.0233,0.427,0.034,0.0074,,,0.4535,0.5046,0.0239,0.048,0.0975,0.163,0.014,,0.0117,0.0668,0.0318,0.535,0.0032
dobj,7_9,Plausible,item3,The guide showed the visitor a sculpture.,sculpture,3.12,2.204,-2.251351357,0.1938589,0.0975,visitor,8.75,2.65,-2.722858429,0.13387981,0.1048,0.0201,,,,,,0.04,0.1733,0.0439,0.1808,0.1672,0.1685,0.0163,,0.064,0.1134,0.3454,0.0135,0.0221,,,0.4728,0.3752,0.0265,0.0085,0.0404,0.2868,0.024,,0.0125,0.074,0.0369,0.8083,0.0056
dobj,7_9,Plausible,item4,The engineer bought the student a snack.,snack,9.14,2.669,-1.012006819,0.23029125,0.0968,student,43.04,3.342,-3.7579602,0.16701074,0.0527,0.0265,,,,,,0.095,0.2386,0.6518,0.3944,0.2189,0.2654,0.0582,,0.0746,0.2313,0.4121,0.1515,0.719,,,0.3456,0.5692,0.0155,0.015,0.0274,0.1239,0.018,,0.0163,0.0731,0.0349,0.4002,0.0145
dobj,7_9,Plausible,item5,The judge awarded the performer the prize.,prize,22.39,3.058,5.327179193,0.5854908,0.067,performer,2.41,2.093,-1.371787816,0.2560217,0.1009,0.0344,,,,,,0.0382,0.0297,0.3396,0.7111,0.1024,0.278,0.0181,,0.3371,0.0195,0.4621,0.0157,0.5013,,,0.4638,0.3483,0.0077,0.1721,0.0122,0.1347,0.0035,,0.0152,0.0678,0.0058,0.526,0.0021
dobj,7_9,Plausible,item6,The doctor prescribed the patient the medicine.,medicine,34.2,3.242,0.47692816,0.34137273,0.0794,patient,63.65,3.511,2.167250156,0.41152808,0.1617,0.0327,,,,,,0.055,0.1039,0.3227,0.4962,0.178,0.1991,0.0833,,0.0799,0.066,0.3635,0.0148,0.0825,,,0.5452,0.6134,0.0091,0.0571,0.0419,0.0948,0.005,,0.0123,0.0859,0.0122,0.6256,0.0032
dobj,7_9,Plausible,item7,The chef cooked the family the steak.,steak,16.24,2.919,7.13629508,0.6242747,0.2124,family,354.25,4.257,-4.628546953,0.17004853,0.1268,0.0409,,,,,,0.0928,0.0584,0.2106,0.0678,0.3341,0.3289,0.0082,,0.4043,0.0616,0.1598,0.1075,0.2211,,,0.6551,0.6875,0.085,0.0963,0.0878,0.0958,0.0063,,0.0737,0.1674,0.0469,0.6354,0.0164
dobj,7_9,Plausible,item8,Her friend told the boss the secret.,secret,109.51,3.747,0.778091609,0.3393089,0.1226,boss,124.29,3.802,-0.942449853,0.3373203,0.3032,0.0158,,,,,,0.0424,0.254,0.3884,0.4388,0.1823,0.4794,0.0909,,0.1419,0.0679,0.838,0.0404,0.3743,,,0.2502,0.4414,0.1994,0.1205,0.0344,0.2407,0.0027,,0.0255,0.2202,0.0021,0.6691,0.0022
dobj,7_9,Plausible,item9,The poet sent the refugee a book.,book,176.98,3.955,-0.931953281,0.18891108,0.1219,refugee,1.92,1.996,-0.702451468,0.25804558,0.0568,0.0312,,,,,,0.0349,0.0896,0.2343,0.5262,0.2615,0.1814,0.0381,,0.0276,0.2714,0.2474,0.01,0.0463,,,0.603,0.4482,0.2056,0.1104,0.0209,0.2647,0.0204,,0.0315,0.159,0.4666,0.4991,0.1122
dobj,7_9,Plausible,item10,The clerk refused the man the pizza.,pizza,33.51,3.233,-4.590270758,0.118378244,0.0921,man,1845.75,4.974,-1.945094109,0.20571114,0.2225,0.0125,,,,,,0.0961,0.1064,0.7256,0.1824,0.0711,0.0695,0.0199,,0.0621,0.0293,0.5522,0.0255,0.0307,,,0.933,0.5476,0.0574,0.0289,0.0275,0.0746,0.0176,,0.0397,0.1339,0.0119,0.4062,0.0059
dobj,7_9,Plausible,item11,The teacher assigned the student some homework.,homework,20.14,3.012,-2.382140577,0.19228318,0.0694,student,43.04,3.342,-0.925543129,0.2735025,0.129,0.0228,,,,,,0.0873,0.1092,0.3057,0.2604,0.2862,0.0997,0.0257,,0.0316,0.0696,0.3892,0.0139,0.0296,,,0.4282,0.4697,0.0098,0.0586,0.0382,0.0842,0.0167,,0.0301,0.0556,0.0689,0.7247,0.0049
