dependency,head_number,Plausibility,sentence_pair,Sentence,Critical_Analysis,SUBTLWF,LgSUBTLWF,PMI_crit,Cosine_crit,Attention_Strength,Lure_Analysis,Lure_SUBTLWF,Lure_LgSUBTLWF,PMI_lure,Cosine_lure,Lure_attention_strength,baseline_attn,Baseline attn: From girl to initial 'the'
dobj,4_11,Plausible,1,The teacher gave the girl a book.,book,176.98,3.955,0.663153648,0.23985314,0.285,girl,557.12,4.454,-2.528136611,0.176041,0.093,0.0046,
dobj,4_11,Plausible,2,The mother awarded the boy a present.,present,89.45,3.659,-5.710882187,0.21272539,0.3607,boy,529.82,4.432,-4.623735666,0.15215588,0.1761,0.0026,
dobj,4_11,Plausible,3,The guide showed the visitor a painting.,painting,29.2,3.173,-1.135827154,0.25423452,0.2096,visitor,8.75,2.65,-2.722858429,0.13387981,0.0758,0.0013,
dobj,4_11,Plausible,4,The engineer bought the student some dinner.,dinner,202.67,4.014,-2.788367629,0.2700674,0.5703,student,43.04,3.342,-3.7579602,0.16701074,0.1681,0.0006,
dobj,4_11,Plausible,5,The judge awarded the singer the prize.,prize,22.39,3.058,5.327179193,0.5854908,0.1371,singer,15.69,2.904,-3.630326271,0.12562759,0.0509,0.001,
dobj,4_11,Plausible,6,The doctor ordered the patient the medicine.,medicine,34.2,3.242,-6.260835886,0.14584678,0.1878,patient,63.65,3.511,-3.584409118,0.17773394,0.2256,0.0013,
dobj,4_11,Plausible,7,The chef prepared the family the breakfast.,breakfast,66.29,3.529,0.25861297,0.34242266,0.132,family,354.25,4.257,-2.853640378,0.17026225,0.1414,0.0026,
dobj,4_11,Plausible,8,Her friend told the manager the secret.,secret,109.51,3.747,0.778091609,0.3393089,0.253,manager,39.96,3.309,-0.702573717,0.24534374,0.028,0.0022,
dobj,4_11,Plausible,9,The poet sent the fan a book.,book,176.98,3.955,-0.931953281,0.18891108,0.1802,fan,35.14,3.254,-2.730605245,0.18889847,0.1135,0.0028,
dobj,4_11,Plausible,10,The owner refused the man the suit.,suit,68.61,3.544,-0.912117951,0.29932636,0.2606,man,"1,845.75",4.974,-1.945094109,0.20571114,0.292,0.002,
dobj,4_11,Plausible,11,The teacher assigned the student some work.,work,798.02,4.61,-0.662227366,0.24365734,0.3465,student,43.04,3.342,-0.925543129,0.2735025,0.2011,0.0026,
dobj,4_11,Plausible,12,The owner showed the patron the book.,book,176.98,3.955,-1.042907387,0.20991582,0.1708,patron,3.1,2.201,-4.783738852,0.1797629,0.0812,0.002,
dobj,4_11,Plausible,13,The student played the audience a song.,song,93.69,3.679,-1.055000365,0.20169123,0.5541,audience,25.37,3.112,-2.98735863,0.20153686,0.1844,0.0013,
dobj,4_11,Plausible,14,The lady served the customer the coffee.,coffee,144.53,3.868,-1.219949126,0.21032113,0.3191,customer,15.2,2.89,-2.159714103,0.19479218,0.1097,0.0098,
dobj,4_11,Plausible,15,The coach taught the runner an exercise.,exercise,17.73,2.957,-1.821266949,0.20426789,0.4847,runner,4.96,2.405,-7.865533113,0.107186384,0.0769,0.0019,
