Plausibility,sentence_pair,Sentence,lure_or_control_word,Lure_or_Control_SUBTLWF,Lure_or_Control_LgSUBTLWF,lure_or_control,Lure_and_control_attn,baseline_attn,Baseline attn: from the attn directing critical word 'enjoyed' to the baseline word 'about',,,
Plausible,1,The book about the food was enjoyed by the audience.,enjoyed,18.16,2.967,lure,0.1063,0.2777,,,,
Plausible,2,The cake by the flour was enjoyed by the guests.,enjoyed,18.16,2.967,lure,0.0124,0.0537,,,,
Plausible,3,The songs about the flowers were performed by the band.,performed,7.31,2.573,lure,0.0092,0.3308,,,,
Plausible,4,The painting inspired by music was exhibited by the museum.,exhibited,0.82,1.633,lure,0.0103,0.0541,,,,
Plausible,5,The report about the art was reviewed by the committee.,reviewed,2.61,2.127,lure,0.0276,0.3691,,,,
Plausible,6,The app for the recipe was funded by the investors.,funded,0.803921569,1.62324929,lure,0.0169,0.1339,,,,
Plausible,7,The speech about the mountain was praised by the audience.,praised,1.71,1.944,lure,0.0078,0.1762,,,,
Plausible,8,The car in the musical was driven by the owner.,driven,10.27,2.72,lure,0.0162,0.0952,,,,
Plausible,9,The meal in the picture was created by the chef.,created,23.43,3.078,lure,0.0154,0.1549,,,,
Plausible,10,The movie about the garden was criticized by the reviewers.,criticized,0.65,1.532,lure,0.0022,0.128,,,,
Plausible,11,The tank with the oxygen was grabbed by the diver.,grabbed,13.33,2.833,lure,0.0573,0.3369,,,,
Plausible,12,The interview for the career was completed by the student.,completed,7.67,2.593,lure,0.0057,0.0367,,,,
Plausible,13,The house in the novel was sold by the agent.,sold,52.06,3.424,lure,0.0031,0.052,,,,
Plausible,14,The shirt with the flower was worn by the model.,worn,10.08,2.712,lure,0.0357,0.1837,,,,
Plausible,15,The photograph near the cocktail was displayed by the gallery.,displayed,1.47,1.881,lure,0.0091,0.0137,,,,
Plausible,16,The lesson about the plane was appreciated by the students.,appreciated,5.73,2.467,lure,0.0121,0.1207,,,,
Plausible,17,The gift by the boat was opened by the boy.,opened,33.84,3.237,lure,0.0776,0.0401,,,,
Plausible,18,The joke about the pie was enjoyed by the audience.,enjoyed,18.16,2.967,lure,0.0493,0.1161,,,,
Plausible,19,The advice about the computer was followed by the friend.,followed,34.1,3.24,lure,0.0006,0.0299,,,,
Plausible,20,The garden by the jacket was watered by the farmer.,watered,0.96,1.699,lure,0.0783,0.0467,,,,
Plausible,21,The poem about the feast was read by the poet.,read,241.22,4.09,lure,0.0052,0.1709,,,,
Plausible,22,The chairs by the snacks were bought by the customers.,bought,85.53,3.64,lure,0.0462,0.0345,,,,
Plausible,23,The decision about the artwork was supported by the group.,supported,3.65,2.272,lure,0.0027,0.1133,,,,
Plausible,24,The email about the basket was read by the manager.,read,241.22,4.09,lure,0.0807,0.0716,,,,
Plausible,25,The plan for the beverage was devised by the leaders.,devised,1.47,1.881,lure,0.0229,0.1842,,,,
Plausible,26,The dinner on the plane was attended by the guests.,attended,3.88,2.299,lure,0.0029,0.1513,,,,
Plausible,27,The story about the candy was remembered by the children.,remembered,22.47,3.06,lure,0.1575,0.1893,,,,
Plausible,28,The puzzle on the necklace was solved by the inventor.,solved,9.92,2.705,lure,0.0097,0.0993,,,,
Plausible,29,The contract for the menu was drafted by the CEO.,drafted,2.33,2.079,lure,0.0253,0.1756,,,,
Plausible,30,The schedule on the calendar was followed by the employees.,followed,34.1,3.24,lure,0.0204,0.0884,,,,
Plausible,31,The training for the cuisine was completed by the contestant.,completed,7.67,2.593,lure,0.0058,0.3364,,,,
Plausible,32,The experiment on the glacier was conducted by the scientists.,conducted,3.2,2.215,lure,0.0061,0.2506,,,,
Plausible,33,The song about the art was recorded by the artist.,recorded,8.41,2.634,lure,0.0367,0.2311,,,,
Plausible,34,The application for the song was approved by the producer.,approved,6.49,2.521,lure,0.0158,0.2183,,,,
Plausible,35,The issue with the floor was addressed by the management.,addressed,3.8,2.29,lure,0.0127,0.2821,,,,
Plausible,36,The challenge with the bread was overcome by the team.,overcome,6.2,2.501,lure,0.0135,0.0586,,,,
Plausible,37,The meeting about the art was held by the board.,held,42.45,3.336,lure,0.0321,0.1203,,,,
Plausible,38,The film about the tree was released by the studio.,released,17.29,2.946,lure,0.0179,0.2655,,,,
Plausible,39,The campaign about the helicopter was led by the politician.,led,24.02,3.088,lure,0.0171,0.2198,,,,
Plausible,40,The studies about the cars were published by the scholar.,published,7.2,2.566,lure,0.0073,0.2072,,,,
Plausible,41,The lecture about the masterpiece was attended by the students.,attended,3.88,2.299,lure,0.0074,0.084,,,,
Plausible,42,The road in the movie was traveled by the explorers.,traveled,6.73,2.537,lure,0.0046,0.0314,,,,
Plausible,43,The plan for the recipe was reached by the chefs.,reached,24.73,3.101,lure,0.0099,0.3394,,,,
Plausible,44,The goal for the concert was achieved by the girl.,achieved,4.29,2.342,lure,0.0808,0.1313,,,,
Plausible,45,The novel about the boat was read by the critics.,read,241.22,4.09,lure,0.0245,0.1828,,,,
Plausible,46,The formula on the board was derived by the engineers.,derived,1.04,1.732,lure,0.004,0.1053,,,,
Plausible,47,The question about the table was answered by the artist.,answered,15.2,2.89,lure,0.0063,0.1454,,,,
Plausible,48,The stores with the games were managed by the investor.,managed,16.59,2.928,lure,0.0152,0.103,,,,
Plausible,49,The investigations regarding the drugs were conducted by the police.,conducted,3.2,2.215,lure,0.005,0.0239,,,,
Plausible,50,The program for the picture was evaluated by the committee.,evaluated,0.61,1.505,lure,0.0142,0.3504,,,,
