Plausibility,sentence_pair,Sentence,lure_or_control_word,Lure_or_Control_SUBTLWF,Lure_or_Control_LgSUBTLWF,lure_or_control,Lure_and_control_attn,baseline_attn,,,,
Plausible,1,The book about the dog was read by the audience.,read,241.22,4.09,lure,0.005,0.5134,,,,
Plausible,2,The dinner at the opera was enjoyed by the guests.,enjoyed,18.16,2.967,lure,0.0131,0.1502,,,,
Plausible,3,The song about the book was performed by the band.,performed,7.31,2.573,lure,0.0071,0.1832,,,,
Plausible,4,The painting inspired by music was shown by the museum.,shown,14.18,2.86,lure,0.0038,0.0937,,,,
Plausible,5,The report about the art was prepared by the committee.,prepared,35.78,3.261,lure,0.0391,0.2419,,,,
Plausible,6,The plans for the animals were studied by the students.,studied,11.31,2.762,lure,0.019,0.4711,,,,
Plausible,7,The conversation about his arm was understood by the man.,understood,32.14,3.215,lure,0.0071,0.2959,,,,
Plausible,8,The car in the musical was driven by the owner.,driven,10.27,2.72,lure,0.0028,0.0371,,,,
Plausible,9,The breakfast in the picture was created by the chef.,created,23.43,3.078,lure,0.2207,0.1195,,,,
Plausible,10,The movie about the tree was addressed by the journalist.,addressed,3.8,2.29,lure,0.0262,0.4847,,,,
Plausible,11,The game about the language was played by the children.,played,56.27,3.458,lure,0.0595,0.1982,,,,
Plausible,12,The software for the student was used at the university.,used,344.14,4.244,lure,0.01,0.1073,,,,
Plausible,13,The house from the book was sold by the agent.,sold,52.06,3.424,lure,0.0165,0.0609,,,,
Plausible,14,The clothes for the models were designed by the staff.,designed,17.53,2.952,lure,0.0329,0.1524,,,,
Plausible,15,The photograph of the newspaper was viewed in the gallery.,viewed,1.04,1.732,lure,0.0789,0.3425,,,,
Plausible,16,The poster with the demand was appreciated by the students.,appreciated,5.73,2.467,lure,0.115,0.1641,,,,
Plausible,17,The prize from the race was opened by the boy.,opened,33.84,3.237,lure,0.1157,0.1174,,,,
Plausible,18,The story about the animal was enjoyed by the audience.,enjoyed,18.16,2.967,lure,0.0306,0.1915,,,,
Plausible,19,The advice for the game was followed by the friend.,followed,34.1,3.24,lure,0.024,0.1317,,,,
Plausible,20,The garden in the book was loved by the man.,loved,110.33,3.75,lure,0.0287,0.1427,,,,
Plausible,21,The poem for the woman was read by the professor.,read,241.22,4.09,lure,0.0044,0.2122,,,,
Plausible,22,The chair for the boy was purchased by the parents.,purchased,3.73,2.281,lure,0.0092,0.1574,,,,
Plausible,23,The decision about the art was supported by the team.,supported,3.65,2.272,lure,0.0525,0.1997,,,,
Plausible,24,The email about the garden was read by the manager.,read,241.22,4.09,lure,0.0048,0.1517,,,,
Plausible,25,The plan regarding the bear was implemented by the officer.,implemented,0.27,1.176,lure,0.0034,0.2435,,,,
Plausible,26,The event from the poster was attended by the guests.,attended,3.88,2.299,lure,0.0293,0.1137,,,,
Plausible,27,The story about the money was remembered by the intern.,remembered,22.47,3.06,lure,0.07,0.3188,,,,
Plausible,28,The mystery surrounding the coat was written by the author.,written,44.06,3.352,lure,0.0336,0.1346,,,,
Plausible,29,The contract for the vehicle was signed by the manager.,signed,36.06,3.265,lure,0.0048,0.2841,,,,
Plausible,30,The schedule on the calendar was followed by the employees.,followed,34.1,3.24,lure,0.0457,0.1158,,,,
Plausible,31,The training for the course was completed by the participants.,completed,7.67,2.593,lure,0.0576,0.2672,,,,
Plausible,32,The experiments on the animals were run by the professor.,run,350.55,4.252,lure,0.0103,0.2226,,,,
Plausible,33,The song about the picture was recorded by the artist.,recorded,8.41,2.634,lure,0.0374,0.1905,,,,
Plausible,34,The application for the path was approved by the authorities.,approved,6.49,2.521,lure,0.0195,0.2778,,,,
Plausible,35,The issue with the plant was addressed by the management.,addressed,3.8,2.29,lure,0.0151,0.3429,,,,
Plausible,36,The challenge with the image was overcome by the team.,overcome,6.2,2.501,lure,0.0121,0.3065,,,,
Plausible,37,The meeting on the calendar was held by the board.,held,42.45,3.336,lure,0.0492,0.1075,,,,
Plausible,38,The film about the flower was released by the studio.,released,17.29,2.946,lure,0.0222,0.2899,,,,
Plausible,39,The campaign about the sign was led by the lawyer.,led,24.02,3.088,lure,0.0078,0.1743,,,,
Plausible,40,The studies on the workers were published by the scholar.,published,7.2,2.566,lure,0.0072,0.2923,,,,
Plausible,41,The lecture about the church was attended by the artist.,attended,3.88,2.299,lure,0.0262,0.189,,,,
Plausible,42,The road in the movie was named after the president.,named,69.88,3.552,lure,0.0042,0.0925,,,,
Plausible,43,The agreement about the bridge was approved by the government.,approved,6.49,2.521,lure,0.0159,0.2105,,,,
Plausible,44,The goal for the day was achieved by the runner.,achieved,4.29,2.342,lure,0.0522,0.2144,,,,
