Plausibility,sentence_pair,Sentence,lure_or_control_word,Lure_or_Control_SUBTLWF,Lure_or_Control_LgSUBTLWF,lure_or_control,Lure_and_control_attn,baseline_attn,Baseline attn: attn from the attn directing critical word ('watched') to the baseline word 'on',,,
Plausible,1,A dog on the roof watched the birds.,roof,35.65,3.26,lure,0.0024,0.0649,,,,
Plausible,2,The cook in the kitchen made a stew.,kitchen,58.31,3.474,lure,0.0015,0.1476,,,,
Plausible,3,The artist by the window painted a landscape.,window,86,3.642,lure,0.4651,0.1714,,,,
Plausible,4,The scientist in the lab developed a treatment.,lab,39.61,3.306,lure,0.0052,0.2473,,,,
Plausible,5,A student at the library studied her notes.,library,22.94,3.069,lure,0.0079,0.2193,,,,
Plausible,6,The boy by the fence watered the flowers.,fence,16.06,2.914,lure,0.0357,0.1673,,,,
Plausible,7,The athlete on the podium won the championship.,podium,1.27,1.819,lure,0.0012,0.0657,,,,
Plausible,8,The detective in the office solved the mystery.,office,203.9,4.017,lure,0.0039,0.1561,,,,
Plausible,9,A baker in the cafe prepared bread daily.,cafe,5.06,2.413,lure,0.007,0.3371,,,,
Plausible,10,The teacher in the classroom inspired young minds.,classroom,4.45,2.358,lure,0.0021,0.1901,,,,
Plausible,11,The officer at the station prepared for emergencies.,station,79.08,3.606,lure,0.0008,0.2409,,,,
Plausible,12,The author in the study wrote a novel.,study,49.04,3.398,lure,0.0131,0.291,,,,
Plausible,13,The musician on the stage performed a concert.,stage,45.57,3.366,lure,0.0038,0.1694,,,,
Plausible,14,A doctor in the hospital saved a life.,hospital,124.2,3.802,lure,0.0017,0.1297,,,,
Plausible,15,The engineer in the factory designed innovative machinery.,factory,16.8,2.933,lure,0.014,0.4028,,,,
Plausible,16,A runner at the beach rescued a child.,beach,56.63,3.461,lure,0.0044,0.19,,,,
Plausible,17,The mechanic in the garage repaired a car.,garage,27.22,3.143,lure,0.0177,0.2491,,,,
Plausible,18,A scientist in the desert unearthed ancient artifacts.,desert,27.98,3.155,lure,0.0066,0.2792,,,,
Plausible,19,The chef in the restaurant prepared delicious meals.,restaurant,46.53,3.376,lure,0.0024,0.3795,,,,
Plausible,20,A man by the hive collected sweet honey.,hive,0.98,1.708,lure,0.0128,0.2613,,,,
Plausible,21,The pilot in the cockpit flew the airplane.,cockpit,3.22,2.217,lure,0.0025,0.1984,,,,
Plausible,22,A researcher in the greenhouse grew exotic plants.,greenhouse,2.2,2.053,lure,0.0151,0.3063,,,,
Plausible,23,The runner on the track set a record.,track,55.75,3.454,lure,0.3117,0.2289,,,,
Plausible,24,A researcher in the lab made a discovery.,lab,39.61,3.306,lure,0.0044,0.1103,,,,
Plausible,25,The apprentice by the bench created a masterpiece.,bench,9.67,2.694,lure,0.0214,0.2026,,,,
Plausible,26,An assistant in the classroom instructed her students.,classroom,4.45,2.358,lure,0.005,0.2128,,,,
Plausible,27,The captain at the scene extinguished the fire.,scene,74.65,3.581,lure,0.0085,0.2207,,,,
Plausible,28,A poet in the library wrote a manuscript.,library,22.94,3.069,lure,0.001,0.2808,,,,
Plausible,29,The singer in the restaurant sung many tunes.,restaurant,46.53,3.376,lure,0.003,0.288,,,,
Plausible,30,The cat in the garden chased a butterfly.,garden,26.55,3.132,lure,0.0024,0.1548,,,,
Plausible,31,A teenager at the library read a textbook.,library,22.94,3.069,lure,0.0028,0.2788,,,,
Plausible,32,The painter in the studio created a masterpiece.,studio,23.33,3.076,lure,0.0072,0.2355,,,,
Plausible,33,A volunteer in the lab conducted an experiment.,lab,39.61,3.306,lure,0.0274,0.376,,,,
Plausible,34,The specialist at the hospital treated a patient.,hospital,124.2,3.802,lure,0.0101,0.2611,,,,
Plausible,35,The boy in the park planted colorful flowers.,park,72.12,3.566,lure,0.0018,0.2592,,,,
Plausible,36,The professor in the classroom explained a concept.,classroom,4.45,2.358,lure,0.0071,0.1766,,,,
Plausible,37,An astronaut on the spaceship observed distant galaxies.,spaceship,3.69,2.276,lure,0.0204,0.1597,,,,
Plausible,38,The worker in the garage fixed an engine.,garage,27.22,3.143,lure,0.006,0.2728,,,,
Plausible,39,The artist at the exhibit showcased some portraits.,exhibit,7.61,2.59,lure,0.0268,0.3286,,,,
Plausible,40,An investigator at the scene asked various questions.,scene,74.65,3.581,lure,0.0007,0.101,,,,
Plausible,41,The farmer in the field harvested ripe vegetables.,field,70.2,3.554,lure,0.0103,0.3885,,,,
Plausible,42,An actor on the stage delivered a speech.,stage,45.57,3.366,lure,0.0037,0.1305,,,,
Plausible,43,A journalist at the conference asked many questions.,conference,25.41,3.113,lure,0.0041,0.2545,,,,
Plausible,44,The woman in the bakery made fresh coffee.,bakery,3.51,2.255,lure,0.0027,0.1629,,,,
Plausible,45,The bear in the river caught a trout.,river,55.47,3.452,lure,0.027,0.2594,,,,
Plausible,46,The group on the trail discovered a waterfall.,trail,19.2,2.991,lure,0.0064,0.2213,,,,
Plausible,47,A coach on the field trained young athletes.,field,70.2,3.554,lure,0.0022,0.0862,,,,
Plausible,48,The photographer from the city attended the wedding.,city,169.1,3.936,lure,0.0006,0.3513,,,,
Plausible,49,A nurse at the clinic assisted a patient.,clinic,14,2.854,lure,0.0041,0.0917,,,,
Plausible,50,A therapist in the hospital helped a girl.,hospital,124.2,3.802,lure,0.0007,0.0655,,,,
Implausible,1,A roof on the dog watched the birds.,dog,192.84,3.993,lure,0.0795,0.0688,,,,
Implausible,2,The kitchen in the cook made a stew.,cook,45.57,3.366,lure,0.0875,0.3682,,,,
Implausible,3,The window by the artist painted a landscape.,artist,28.63,3.165,lure,0.3154,0.1125,,,,
Implausible,4,The lab in the scientist developed a treatment.,scientist,12.18,2.794,lure,0.0326,0.2201,,,,
Implausible,5,A library at the student studied her notes.,student,43.04,3.342,lure,0.1121,0.2484,,,,
Implausible,6,The fence by the boy watered the flowers.,boy,529.82,4.432,lure,0.0596,0.0765,,,,
Implausible,7,The podium on the athlete won the championship.,athlete,4.61,2.373,lure,0.0551,0.1404,,,,
Implausible,8,The office in the detective solved the mystery.,detective,61.12,3.494,lure,0.0325,0.2355,,,,
Implausible,9,A cafe in the baker prepared bread daily.,baker,13.69,2.845,lure,0.0112,0.1468,,,,
Implausible,10,The classroom in the teacher inspired young minds.,teacher,55.73,3.454,lure,0.0181,0.2688,,,,
Implausible,11,The station at the officer prepared for emergencies.,officer,103.24,3.721,lure,0.0388,0.3717,,,,
Implausible,12,The study in the author wrote a novel.,author,7.94,2.608,lure,0.0582,0.0577,,,,
Implausible,13,The stage on the musician performed a concert.,musician,6.04,2.49,lure,0.2856,0.2026,,,,
Implausible,14,A hospital in the doctor saved a life.,doctor,263.94,4.129,lure,0.0177,0.0954,,,,
Implausible,15,The factory in the engineer designed innovative machinery.,engineer,11.69,2.776,lure,0.1601,0.3085,,,,
Implausible,16,A beach at the runner rescued a child.,runner,4.96,2.405,lure,0.1581,0.348,,,,
Implausible,17,The garage in the mechanic repaired a car.,mechanic,5.06,2.413,lure,0.1389,0.1654,,,,
Implausible,18,A desert in the scientist unearthed ancient artifacts.,scientist,12.18,2.794,lure,0.2165,0.0922,,,,
Implausible,19,The restaurant in the chef prepared delicious meals.,chef,11.88,2.783,lure,0.0894,0.3203,,,,
Implausible,20,A hive by the man collected sweet honey.,man,"1,845.75",4.974,lure,0.108,0.1383,,,,
Implausible,21,The cockpit in the pilot flew the airplane.,pilot,26.67,3.134,lure,0.0323,0.2393,,,,
Implausible,22,A greenhouse in the researcher grew exotic plants.,researcher,0.75,1.591,lure,0.0127,0.1088,,,,
Implausible,23,The track on the runner set a record.,runner,4.96,2.405,lure,0.1589,0.2531,,,,
Implausible,24,A lab in the researcher made a discovery.,researcher,0.75,1.591,lure,0.0173,0.0808,,,,
Implausible,25,The bench by the apprentice created a masterpiece.,apprentice,1.94,2,lure,0.0395,0.2257,,,,
Implausible,26,A classroom in the assistant instructed her students.,assistant,32.22,3.216,lure,0.0408,0.2223,,,,
Implausible,27,The scene at the captain extinguished the fire.,captain,208.27,4.026,lure,0.0389,0.1072,,,,
Implausible,28,A library in the poet wrote a manuscript.,poet,9.22,2.673,lure,0.0454,0.3427,,,,
Implausible,29,The restaurant in the singer sung many tunes.,singer,15.69,2.904,lure,0.1076,0.2612,,,,
Implausible,30,The garden in the cat chased a butterfly.,cat,66.33,3.529,lure,0.0291,0.2316,,,,
Implausible,31,A library at the teenager read a textbook.,teenager,6.88,2.546,lure,0.0099,0.2022,,,,
Implausible,32,The studio in the painter created a masterpiece.,painter,6.75,2.538,lure,0.1346,0.3676,,,,
Implausible,33,A lab in the volunteer conducted an experiment.,volunteer,9.31,2.678,lure,0.04,0.0837,,,,
Implausible,34,The hospital at the specialist treated a patient.,specialist,5.18,2.423,lure,0.1088,0.2618,,,,
Implausible,35,The park in the boy planted colorful flowers.,boy,529.82,4.432,lure,0.3316,0.3012,,,,
Implausible,36,The classroom in the professor explained a concept.,professor,69.57,3.55,lure,0.0375,0.1732,,,,
Implausible,37,A spaceship on the astronaut observed distant galaxies.,astronaut,3.96,2.308,lure,0.0392,0.0749,,,,
Implausible,38,The garage in the worker fixed an engine.,worker,10.94,2.747,lure,0.1044,0.2999,,,,
Implausible,39,The exhibit at the artist showcased some portraits.,artist,28.63,3.165,lure,0.0595,0.1588,,,,
Implausible,40,A scene at the investigator asked various questions.,investigator,6.1,2.494,lure,0.0342,0.0726,,,,
Implausible,41,The field in the farmer harvested ripe vegetables.,farmer,11.84,2.782,lure,0.3137,0.2689,,,,
Implausible,42,A stage on the actor delivered a speech.,actor,26.33,3.128,lure,0.3121,0.1136,,,,
Implausible,43,A conference at the journalist asked many questions.,journalist,6.1,2.494,lure,0.0399,0.2011,,,,
Implausible,44,The bakery in the woman made fresh coffee.,woman,434.63,4.346,lure,0.0553,0.2653,,,,
Implausible,45,The river in the bear caught a trout.,bear,57.41,3.467,lure,0.0982,0.1528,,,,
Implausible,46,The trail on the group discovered a waterfall.,group,73.76,3.575,lure,0.0514,0.0846,,,,
