Plausibility,sentence_pair,Sentence,lure_or_control_word,Lure_or_Control_SUBTLWF,Lure_or_Control_LgSUBTLWF,lure_or_control,Lure_and_control_attn,baseline_attn
Plausible,1,A dog on the roof watched the birds.,roof,35.65,3.26,lure,0.0281,0.0138
Plausible,2,The cook in the kitchen made a soup.,kitchen,58.31,3.474,lure,0.0455,0.0342
Plausible,3,The artist by the window painted a landscape.,window,86,3.642,lure,0.054,0.0198
Plausible,4,The professor in the lab developed a treatment.,lab,39.61,3.306,lure,0.0367,0.0523
Plausible,5,A student at the library studied her notes.,library,22.94,3.069,lure,0.0245,0.0311
Plausible,6,The boy by the house enjoyed the flowers.,house,514,4.418,lure,0.0868,0.0329
Plausible,7,The runner on the track won the championship.,track,55.75,3.454,lure,0.0232,0.034
Plausible,8,The officer in the room solved the mystery.,room,439.51,4.351,lure,0.0296,0.0377
Plausible,9,A cook in the restaurant prepared bread daily.,restaurant,46.53,3.376,lure,0.07,0.0241
Plausible,10,The teacher in the class inspired young minds.,class,117.35,3.777,lure,0.0381,0.0354
Plausible,11,The officer at the station prepared for work.,station,79.08,3.606,lure,0.022,0.0423
Plausible,12,The author in the study wrote a novel.,study,49.04,3.398,lure,0.0455,0.053
Plausible,13,The singer on the stage performed a concert.,stage,45.57,3.366,lure,0.0602,0.0229
Plausible,14,A doctor in the hospital saved a life.,hospital,124.2,3.802,lure,0.0168,0.0258
Plausible,15,The engineer in the factory designed powerful engines.,factory,16.8,2.933,lure,0.0523,0.0465
Plausible,16,A runner at the beach helped the child.,beach,56.63,3.461,lure,0.0186,0.0362
Plausible,17,The worker in the shop fixed a car.,shop,53.55,3.437,lure,0.0417,0.0488
Plausible,18,A professor in the desert found an artifact.,desert,27.98,3.155,lure,0.0474,0.0267
Plausible,19,The chef in the restaurant prepared wonderful food.,restaurant,46.53,3.376,lure,0.0676,0.0362
Plausible,20,A man by the garden collected some flowers.,garden,26.55,3.132,lure,0.0412,0.0243
Plausible,21,The pilot in the hall drove the plane.,hall,51.94,3.423,lure,0.0409,0.0479
Plausible,22,The professor in the lab grew rare plants.,lab,39.61,3.306,lure,0.0107,0.0305
Plausible,23,The runner on the track set a record.,track,55.75,3.454,lure,0.0197,0.0157
Plausible,24,A student in the lab made a discovery.,lab,39.61,3.306,lure,0.0292,0.0487
Plausible,25,The teacher by the door planned a course.,door,292.06,4.173,lure,0.0688,0.0283
Plausible,26,An assistant in the class taught her students.,class,117.35,3.777,lure,0.0624,0.0285
Plausible,27,The captain at the scene stopped the fire.,scene,74.65,3.581,lure,0.0671,0.0327
Plausible,28,A poet in the library wrote a manuscript.,library,22.94,3.069,lure,0.0436,0.0424
Plausible,29,The singer in the restaurant played many songs.,restaurant,46.53,3.376,lure,0.0475,0.0302
Plausible,30,The cat in the garden watched a mouse.,garden,26.55,3.132,lure,0.0328,0.037
Plausible,31,A child at the library read a book.,library,22.94,3.069,lure,0.0198,0.0309
Plausible,32,The painter in the studio made a portrait.,studio,23.33,3.076,lure,0.0288,0.0465
Plausible,33,An assistant in the lab conducted an experiment.,lab,39.61,3.306,lure,0.0437,0.0294
Plausible,34,The doctor at the hospital treated a patient.,hospital,124.2,3.802,lure,0.0372,0.0515
Plausible,35,The boy in the park found yellow flowers.,park,72.12,3.566,lure,0.037,0.0249
Plausible,36,The professor in the class explained a concept.,class,117.35,3.777,lure,0.0417,0.075
Plausible,37,The man with the camera observed distant mountains.,camera,57,3.464,lure,0.0426,0.039
Plausible,38,The worker in the shop fixed an engine.,shop,53.55,3.437,lure,0.0417,0.0488
Plausible,39,The artist at the museum presented some pictures.,museum,18.47,2.974,lure,0.0757,0.0618
Plausible,40,An officer at the scene asked various questions.,scene,74.65,3.581,lure,0.0258,0.0435
Plausible,41,The men in the field picked fresh fruit.,field,70.2,3.554,lure,0.0406,0.0352
Plausible,42,An actor on the stage delivered a speech.,stage,45.57,3.366,lure,0.039,0.017
Plausible,43,A journalist at the conference asked many questions.,conference,25.41,3.113,lure,0.0272,0.0526
Plausible,44,The woman in the shop made fresh coffee.,shop,53.55,3.437,lure,0.0424,0.057
Plausible,45,The bear in the river caught a bass.,river,55.47,3.452,lure,0.0438,0.0341
Plausible,46,The group on the trail discovered a cave.,trail,19.2,2.991,lure,0.0564,0.06
Plausible,47,The coach on the field trained a runner.,field,70.2,3.554,lure,0.032,0.0219
Plausible,48,The artist from the city attended the ceremony.,city,169.1,3.936,lure,0.0369,0.0648
Plausible,49,A doctor at the hospital saved a patient.,hospital,124.2,3.802,lure,0.0138,0.0391
Plausible,50,The secretary in the office helped a girl.,office,203.9,4.017,lure,0.0259,0.0315
Implausible,1,A roof on the dog watched the birds.,dog,192.84,3.993,lure,0.0588,0.0167
Implausible,2,The kitchen in the cook made a soup.,cook,45.57,3.366,lure,0.1194,0.0876
Implausible,3,The window by the artist painted a landscape.,artist,28.63,3.165,lure,0.1602,0.0256
Implausible,4,The lab in the professor developed a treatment.,professor,69.57,3.55,lure,0.1011,0.0496
Implausible,5,A library at the student studied her notes.,student,43.04,3.342,lure,0.1531,0.0222
Implausible,6,The house by the boy enjoyed the flowers.,boy,529.82,4.432,lure,0.118,0.0359
Implausible,7,The track on the runner won the championship.,runner,4.96,2.405,lure,0.0958,0.0484
Implausible,8,The room in the officer solved the mystery.,officer,103.24,3.721,lure,0.1027,0.0296
Implausible,9,A restaurant in the cook prepared bread daily.,cook,45.57,3.366,lure,0.1267,0.0397
Implausible,10,The class in the teacher inspired young minds.,teacher,55.73,3.454,lure,0.0739,0.0318
Implausible,11,The station at the officer prepared for work.,officer,103.24,3.721,lure,0.0616,0.0301
Implausible,12,The study in the author wrote a novel.,author,7.94,2.608,lure,0.0862,0.0807
