comparison_num,dependency,head_number,Plausibility,sentence_pair,Sentence,Critical_Analysis,SUBTLWF,LgSUBTLWF,PMI_crit,Cosine_crit,Attention_Strength,Lure_Analysis,Lure_SUBTLWF,Lure_LgSUBTLWF,PMI_lure,Cosine_lure,Lure_attention_strength,baseline_attn,Baseline attn is from the lure word 'girl' to 'the' (first instance)
1,dobj,2_8,Plausible,1,The teacher gave the girl a toy.,toy,16.84,2.934,-1.547005624,0.17559512,0.5786,girl,557.12,4.454,-2.528136611,0.176041,0.6139,0.1968,
1,dobj,2_8,Plausible,2,The grandmother gifted the boy a bicycle.,bicycle,6.61,2.529,-5.556447029,0.09359523,0.3715,boy,529.82,4.432,-0.492547002,0.23425655,0.5004,0.2113,
1,dobj,2_8,Plausible,3,The guide showed the visitor a sculpture.,sculpture,3.12,2.204,-2.251351357,0.1938589,0.1908,visitor,8.75,2.65,-2.722858429,0.13387981,0.2979,0.3273,
1,dobj,2_8,Plausible,4,The engineer bought the student a snack.,snack,9.14,2.669,-1.012006819,0.23029125,0.3953,student,43.04,3.342,-3.7579602,0.16701074,0.449,0.2605,
1,dobj,2_8,Plausible,5,The judge awarded the performer the prize.,prize,22.39,3.058,5.327179193,0.5854908,0.5655,performer,2.41,2.093,-1.371787816,0.2560217,0.418,0.3281,
1,dobj,2_8,Plausible,6,The doctor prescribed the patient the medicine.,medicine,34.2,3.242,0.47692816,0.34137273,0.4354,patient,63.65,3.511,2.167250156,0.41152808,0.4059,0.3901,
1,dobj,2_8,Plausible,7,The chef cooked the family the steak.,steak,16.24,2.919,7.13629508,0.6242747,0.3573,family,354.25,4.257,-4.628546953,0.17004853,0.4687,0.2387,
1,dobj,2_8,Plausible,8,Her friend told the boss the secret.,secret,109.51,3.747,0.778091609,0.3393089,0.5962,boss,124.29,3.802,-0.942449853,0.3373203,0.4569,0.2916,
1,dobj,2_8,Plausible,9,The poet sent the refugee a book.,book,176.98,3.955,-0.931953281,0.18891108,0.5475,refugee,1.92,1.996,-0.702451468,0.25804558,0.4171,0.3198,
1,dobj,2_8,Plausible,10,The clerk refused the man the pizza.,pizza,33.51,3.233,-4.590270758,0.118378244,0.3119,man,"1,845.75",4.974,-1.945094109,0.20571114,0.4959,0.256,
1,dobj,2_8,Plausible,11,The teacher assigned the student some homework.,homework,20.14,3.012,-2.382140577,0.19228318,0.3057,student,43.04,3.342,-0.925543129,0.2735025,0.6382,0.1638,
1,dobj,2_8,Plausible,12,The owner lent the patron the book.,book,176.98,3.955,-0.416392386,0.22165555,0.3704,patron,3.1,2.201,-2.138218999,0.26944673,0.3769,0.3405,
